fips,county,region,cog,msa,year,sex,total,medage
37171,Surry,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2015,Total,73061,42.46224589
37173,Swain,Western North Carolina,Southwestern Commission,Non-Metropolitan,2009,Total,13864,40.6516129
37173,Swain,Western North Carolina,Southwestern Commission,Non-Metropolitan,2012,Total,14463,40.93313953
37173,Swain,Western North Carolina,Southwestern Commission,Non-Metropolitan,2015,Total,14943,40.86337209
37175,Transylvania,Western North Carolina,Land-of-Sky Regional Council,Non-Metropolitan,2009,Total,32788,48.30107527
37175,Transylvania,Western North Carolina,Land-of-Sky Regional Council,Non-Metropolitan,2012,Total,33004,49.45558087
37175,Transylvania,Western North Carolina,Land-of-Sky Regional Council,Non-Metropolitan,2015,Total,33720,50.50629723
37177,Tyrrell,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2009,Total,4410,41.30508475
37177,Tyrrell,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2012,Total,4146,42.12068966
37177,Tyrrell,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2015,Total,4213,42.69607843
37179,Union,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2009,Total,197373,36.11206317
37179,Union,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2012,Total,207726,37.0541958
37179,Union,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2015,Total,219660,38.01644031
37181,Vance,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2009,Total,45267,38.22265625
37181,Vance,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2012,Total,45449,39.02941176
37181,Vance,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2015,Total,44970,39.16956522
37183,Wake,Central North Carolina,Triangle J Council of Governments,Raleigh,2009,Total,882344,34.29187889
37183,Wake,Central North Carolina,Triangle J Council of Governments,Raleigh,2012,Total,945238,35.18833652
37183,Wake,Central North Carolina,Triangle J Council of Governments,Raleigh,2015,Total,1006053,36.19716902
37185,Warren,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2009,Total,20801,44.57363014
37185,Warren,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2012,Total,20705,45.15777778
37185,Warren,Central North Carolina,Kerr-Tar Council of Governments,Non-Metropolitan,2015,Total,20521,45.34651163
37187,Washington,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2009,Total,13243,43.52556818
37187,Washington,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2012,Total,12802,44.85714286
37187,Washington,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2015,Total,12565,45.55031447
37189,Watauga,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2009,Total,50121,28.54930966
37189,Watauga,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2012,Total,52446,28.70967742
37189,Watauga,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2015,Total,53725,29.29982517
37191,Wayne,Eastern North Carolina,Eastern Carolina Council of Governments,Goldsboro,2009,Total,121852,36.53102547
37191,Wayne,Eastern North Carolina,Eastern Carolina Council of Governments,Goldsboro,2012,Total,125055,36.67202462
37191,Wayne,Eastern North Carolina,Eastern Carolina Council of Governments,Goldsboro,2015,Total,125011,36.93775236
37193,Wilkes,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2009,Total,69107,42.02871073
37193,Wilkes,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2012,Total,69721,43.03314607
37193,Wilkes,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2015,Total,69644,43.90611354
37195,Wilson,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2009,Total,80677,38.4637883
37195,Wilson,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2012,Total,81701,39.05276134
37195,Wilson,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2015,Total,81616,39.42440042
37197,Yadkin,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2009,Total,38263,41.04003559
37197,Yadkin,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2012,Total,38244,42.17142857
37197,Yadkin,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2015,Total,37675,42.96161826
37199,Yancey,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2009,Total,17872,45.05223881
37199,Yancey,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2012,Total,17867,45.91055046
37199,Yancey,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2015,Total,17940,46.20179372
